iter	RMSE
0	77005.98986
1	74058.6539
2	70734.88463
3	68220.20471
4	65628.84436
5	63218.49533
6	60868.6429
7	58730.27065
8	56500.14493
9	54483.81955
10	52616.81674
11	50846.19623
12	49287.56707
13	47782.23933
14	46431.1486
15	45090.60765
16	43704.78017
17	42563.58056
18	41653.87912
19	40557.33605
20	39610.18945
21	38659.69383
22	37824.09674
23	37111.36774
24	36285.82983
25	35585.47332
26	34813.95404
27	34206.76425
28	33622.25552
29	33021.23238
30	32384.2019
31	31813.27923
32	31279.77292
33	30747.84284
34	30209.47754
35	29717.81596
36	29303.67459
37	28992.47674
38	28611.04731
39	28247.09426
40	27908.41992
41	27614.56043
42	27319.05671
43	27011.69633
44	26784.41288
45	26538.46017
46	26275.08714
47	26010.38399
48	25768.51034
49	25585.89807
50	25397.93296
51	25206.84886
52	25053.61971
53	24848.01579
54	24689.16631
55	24520.05107
56	24296.47986
57	24133.22052
58	24002.29729
59	23799.30405
60	23655.52975
61	23465.04952
62	23287.69617
63	23221.98781
64	23096.07299
65	22954.25824
66	22806.30968
67	22707.46468
68	22577.83744
69	22504.01312
70	22373.99629
71	22258.67955
72	22165.14692
73	22014.98382
74	21920.01556
75	21817.38266
76	21713.92455
77	21590.37108
78	21477.29582
79	21396.91243
80	21291.45137
81	21188.74861
82	21102.63068
83	21027.66523
84	20992.28155
85	20878.65736
86	20783.44636
87	20658.54859
88	20575.0483
89	20488.46599
90	20401.592
91	20316.55098
92	20233.49951
93	20167.46816
94	20123.16413
95	20093.09503
96	20037.4184
97	19926.37594
98	19883.29282
99	19832.03989
100	19731.02674
101	19680.61696
102	19614.79417
103	19520.60549
104	19456.06329
105	19372.54937
106	19333.68584
107	19257.96896
108	19188.45402
109	19133.69993
110	19080.58421
111	19022.64863
112	19000.1708
113	18979.42983
114	18936.65661
115	18859.62457
116	18795.48661
117	18742.22584
118	18685.73591
119	18613.52476
120	18567.59877
121	18510.41473
122	18442.77613
123	18389.4801
124	18312.90423
125	18251.83712
126	18195.28436
127	18141.27349
128	18079.68898
129	18035.41721
130	17972.48943
131	17915.65539
132	17868.95273
133	17828.05666
134	17781.88693
135	17738.19712
136	17722.88351
137	17674.39647
138	17626.61345
139	17584.28808
140	17544.83587
141	17498.41766
142	17458.37745
143	17447.71348
144	17386.67491
145	17349.17628
146	17296.06704
147	17250.2896
148	17233.9696
149	17224.0567
150	17211.46043
151	17167.91175
152	17118.85995
153	17080.76173
154	17030.97849
155	16980.23155
156	16926.00937
157	16910.41419
158	16872.82601
159	16840.47111
160	16831.9169
161	16795.8164
162	16761.04151
163	16725.23814
164	16686.6616
165	16630.18816
166	16599.97465
167	16590.98688
168	16528.45861
169	16493.75387
170	16457.96517
171	16427.94386
172	16386.63398
173	16378.77318
174	16364.13775
175	16330.07124
176	16292.31653
177	16252.51741
178	16209.55466
179	16196.67705
180	16150.18515
181	16104.41548
182	16065.64617
183	16011.30017
184	16005.34951
185	15998.63911
186	15956.38432
187	15951.01746
188	15911.82328
189	15883.46213
190	15854.79506
191	15823.15656
192	15792.53429
193	15752.28796
194	15709.14362
195	15662.13631
196	15623.74402
197	15591.92052
198	15559.41801
199	15524.71413
200	15474.73754
201	15470.17274
202	15465.78513
203	15453.99127
204	15422.71584
205	15414.92737
206	15380.9382
207	15353.03785
208	15349.16117
209	15345.50047
210	15310.09625
211	15272.2863
212	15262.6854
213	15256.29245
214	15234.47945
215	15200.43273
216	15176.63424
217	15127.31326
218	15123.75709
219	15098.54575
220	15066.59694
221	15046.24918
222	15015.15301
223	15005.1437
224	14980.73411
225	14950.07468
226	14925.75592
227	14917.96967
228	14880.30979
229	14875.4349
230	14856.08553
231	14830.28694
232	14821.87479
233	14789.97309
234	14765.13387
235	14760.23384
236	14737.14355
237	14703.91346
238	14678.3367
239	14646.1466
240	14622.65797
241	14597.10719
242	14582.10226
243	14562.91266
244	14513.14193
245	14484.647
246	14459.27833
247	14435.56814
248	14406.43294
249	14376.0244
250	14347.5105
251	14320.50774
252	14292.68092
253	14272.87437
254	14264.20991
255	14237.02419
256	14213.71004
257	14190.94582
258	14175.60755
259	14134.87473
260	14130.99312
261	14093.96333
262	14067.98009
263	14026.39507
264	14024.22065
265	14000.10016
266	13971.82215
267	13938.50132
268	13916.65279
269	13888.07636
270	13869.17253
271	13838.73046
272	13806.5508
273	13784.74032
274	13765.26888
275	13741.02146
276	13717.45346
277	13707.0011
278	13683.44164
279	13661.77462
280	13633.19384
281	13607.82166
282	13585.25053
283	13557.41755
284	13528.38919
285	13506.81832
286	13481.53347
287	13460.63446
288	13436.26419
289	13422.49198
290	13408.3051
291	13389.27769
292	13359.59872
293	13342.96326
294	13321.90282
295	13305.60364
296	13283.62746
297	13257.48974
298	13239.62114
299	13232.19037
300	13210.36072
301	13178.72163
302	13164.11904
303	13141.42796
304	13115.50986
305	13094.72213
306	13084.88289
307	13062.84251
308	13044.40021
309	13041.30757
310	13020.88123
311	13000.82278
312	12983.45566
313	12959.3428
314	12950.85555
315	12929.14003
316	12909.52635
317	12887.47841
318	12868.05539
319	12841.66521
320	12822.28662
321	12795.86502
322	12776.51231
323	12755.26708
324	12728.68378
325	12711.32613
326	12689.99878
327	12669.00327
328	12642.24701
329	12625.33265
330	12601.64501
331	12580.56204
332	12566.19037
333	12546.1705
334	12529.25266
335	12491.37303
336	12474.11701
337	12462.18439
338	12449.69293
339	12433.10984
340	12429.00028
341	12413.56962
342	12390.65243
343	12377.3863
344	12348.4231
345	12333.92133
346	12331.82356
347	12313.20764
348	12289.9382
349	12285.31946
350	12274.52473
351	12257.54239
352	12241.91702
353	12237.44506
354	12208.81362
355	12183.97516
356	12168.63015
357	12147.99274
358	12129.39488
359	12115.24711
360	12103.20497
361	12087.42121
362	12075.05697
363	12062.96586
364	12044.18552
365	12028.01513
366	12014.80639
367	12000.07286
368	11983.08362
369	11964.92363
370	11941.81307
371	11931.48834
372	11907.3463
373	11898.17433
374	11871.38381
375	11857.23274
376	11831.39513
377	11829.47379
378	11818.5423
379	11796.06619
380	11782.88843
381	11763.27846
382	11746.32367
383	11744.76833
384	11729.16816
385	11712.58835
386	11695.35859
387	11676.90957
388	11658.20435
389	11641.30798
390	11637.29195
391	11610.00508
392	11598.42422
393	11585.08461
394	11578.01054
395	11562.36919
396	11543.02539
397	11518.45744
398	11503.06321
399	11480.91888
400	11460.20013
401	11446.4534
402	11434.70322
403	11419.5179
404	11402.45933
405	11390.43291
406	11374.11646
407	11353.42849
408	11351.84276
409	11337.20303
410	11323.75664
411	11309.44007
412	11295.80551
413	11280.21907
414	11263.28851
415	11260.20198
416	11251.65736
417	11227.36869
418	11211.11409
419	11197.8618
420	11184.65605
421	11164.38528
422	11150.01853
423	11141.46818
424	11133.30838
425	11117.16499
426	11102.98326
427	11098.19278
428	11088.33197
429	11068.18906
430	11060.52588
431	11048.97873
432	11041.30276
433	11024.65617
434	11004.09038
435	10990.4314
436	10980.50224
437	10966.61366
438	10953.72878
439	10949.28317
440	10944.99566
441	10935.71981
442	10928.73531
443	10919.60792
444	10900.97039
445	10878.10923
446	10868.05457
447	10856.88671
448	10843.10506
449	10831.83405
450	10818.64187
451	10807.95292
452	10792.77994
453	10786.16291
454	10766.25632
455	10750.06553
456	10737.72344
457	10734.06978
458	10720.6082
459	10712.52787
460	10697.86432
461	10690.18849
462	10675.52208
463	10666.19634
464	10650.8977
465	10642.97925
466	10628.25172
467	10607.39445
468	10598.9421
469	10590.33915
470	10572.19793
471	10562.60612
472	10546.88466
473	10536.91678
474	10521.35732
475	10517.8368
476	10503.96306
477	10500.89495
478	10490.71092
479	10479.71036
480	10471.47032
481	10460.98339
482	10446.28835
483	10429.79477
484	10419.27045
485	10402.0234
486	10390.74006
487	10389.64906
488	10380.47507
489	10360.47212
490	10343.00402
491	10330.92497
492	10317.49726
493	10307.43626
494	10289.6537
495	10280.10119
496	10269.76043
497	10259.03047
498	10252.42345
499	10237.13535
500	10224.20782
501	10222.17332
502	10213.83354
503	10194.0534
504	10192.17877
505	10187.15855
506	10178.80005
507	10170.0404
508	10169.00775
509	10151.00501
510	10147.23759
511	10138.39223
512	10126.18746
513	10114.2532
514	10103.3852
515	10094.98962
516	10082.47192
517	10071.70582
518	10062.71481
519	10047.32286
520	10039.381
521	10026.64654
522	10012.39701
523	10005.75511
524	9996.700188
525	9982.21415
526	9967.323571
527	9957.42475
528	9945.761526
529	9935.979162
530	9930.376271
531	9925.736886
532	9922.955818
533	9922.270219
534	9912.836356
535	9908.418558
536	9903.583803
537	9892.323237
538	9880.114947
539	9866.654056
540	9858.037787
541	9856.987187
542	9846.662884
543	9844.298912
544	9832.431388
545	9816.303157
546	9803.342114
547	9795.888129
548	9782.520523
549	9766.729649
550	9751.871934
551	9750.77915
552	9735.873334
553	9721.008516
554	9703.728242
555	9692.295067
556	9682.74641
557	9665.494637
558	9654.925008
559	9644.64853
560	9630.029539
561	9626.799785
